X,Y,Z,iscell,slope,slope_p
-261,-1168,-254,True,-5.58226209407603e-06,0.08538326818662383
-253,-958,-254,True,-2.4417188204552854e-05,3.335697922303639e-05
-487,-1042,-254,True,3.800478341340648e-06,0.2119168733296537
-247,-1144,-254,True,1.0373394189393094e-06,0.6244101559021968
-403,-1048,-254,True,-7.469165621097666e-06,0.23802893010102857
-391,-886,-254,True,-1.5863846566430075e-06,0.396460559889259
-359,-988,-254,True,-2.1177398692164933e-06,0.3536685874153461
-415,-812,-254,True,1.1076547210244821e-05,0.2472183740638107
-501,-1074,-254,True,-3.1091151286191085e-05,0.05418258833283073
-587,-1060,-254,True,7.856168260567709e-07,0.8110693102088613
-353,-1144,-254,True,-1.323812312241915e-05,0.004466055769729765
-383,-1124,-254,True,-6.365804396395425e-06,0.11959546282178507
-389,-1010,-254,True,-7.536563856125494e-07,0.6399066880392557
-395,-1020,-254,True,-2.4937216549397987e-06,0.1635916660101775
-381,-1176,-254,True,2.341026805361941e-06,0.06824140585014796
-249,-990,-254,True,-1.1938132220019857e-07,0.8888328940374294
-395,-1072,-254,True,-3.813319211108979e-08,0.9817609639453972
-327,-934,-254,True,4.315195171190681e-07,0.8383189028463913
-253,-904,-254,True,1.0136975602408765e-08,0.9940325242117949
-377,-954,-254,True,-2.1687664365200397e-05,0.005662045477613598
-397,-1212,-254,True,-1.3667645619014601e-05,0.0034356422645394646
-361,-882,-254,True,2.680811566003877e-07,0.7873060792130434
-291,-1012,-254,True,1.4482631238579476e-07,0.8202040686003348
-475,-1150,-254,True,-7.559966811117808e-08,0.9647277452047834
-235,-842,-254,True,6.519229691510025e-07,0.461106978075861
-330,-992,-254,True,-1.1025905328767e-06,0.533744144302335
-271,-862,-254,True,-9.548471442307903e-07,0.3599499791061107
-495,-1154,-254,True,-8.312266752601535e-07,0.5242328341485456
-323,-1034,-254,True,1.131077931762107e-05,0.32083487399341437
-273,-1080,-254,True,1.8749694398490845e-07,0.8082284786837536
-387,-846,-254,True,-5.701146986364454e-07,0.2882627643355541
